"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"9601","L1","L1 1",38,"disamb","rp","disamb rp",6,0,328,328,0.5,-0.5,328
"9603","L1","L1 1",39,"disamb","rp","disamb rp",7,1,0,NA,-0.5,0.5,NA
"9605","L1","L1 1",26,"disamb","rp","disamb rp",6,0,586,586,0.5,-0.5,586
"9607","L1","L1 1",34,"disamb","rp","disamb rp",6,1,0,NA,0.5,-0.5,NA
"9609","L1","L1 1",46,"disamb","rp","disamb rp",6,1,0,NA,0.5,-0.5,NA
"9611","L1","L1 1",29,"disamb","rp","disamb rp",5,1,0,NA,-0.5,-0.5,NA
"9613","L1","L1 1",36,"disamb","rp","disamb rp",8,1,0,NA,0.5,0.5,NA
"9615","L1","L1 1",30,"disamb","rp","disamb rp",6,1,0,NA,0.5,-0.5,NA
"9617","L1","L1 1",40,"disamb","rp","disamb rp",8,1,0,NA,0.5,0.5,NA
"9619","L1","L1 1",33,"disamb","rp","disamb rp",5,1,0,NA,-0.5,-0.5,NA
"9621","L1","L1 1",43,"disamb","rp","disamb rp",7,0,708,708,-0.5,0.5,708
"9623","L1","L1 1",28,"disamb","rp","disamb rp",8,0,375,375,0.5,0.5,375
"9625","L1","L1 1",31,"disamb","rp","disamb rp",7,1,0,NA,-0.5,0.5,NA
"9627","L1","L1 1",45,"disamb","rp","disamb rp",5,0,298,298,-0.5,-0.5,298
"9629","L1","L1 1",25,"disamb","rp","disamb rp",5,1,0,NA,-0.5,-0.5,NA
"9631","L1","L1 1",41,"disamb","rp","disamb rp",5,0,252,252,-0.5,-0.5,252
"9633","L1","L1 1",42,"disamb","rp","disamb rp",6,0,853,853,0.5,-0.5,853
"9635","L1","L1 1",37,"disamb","rp","disamb rp",5,0,1039,1039,-0.5,-0.5,1039
"9637","L1","L1 1",32,"disamb","rp","disamb rp",8,1,0,NA,0.5,0.5,NA
"9639","L1","L1 1",48,"disamb","rp","disamb rp",8,1,0,NA,0.5,0.5,NA
"9641","L1","L1 1",47,"disamb","rp","disamb rp",7,1,0,NA,-0.5,0.5,NA
"9643","L1","L1 1",44,"disamb","rp","disamb rp",8,1,0,NA,0.5,0.5,NA
"9645","L1","L1 1",27,"disamb","rp","disamb rp",7,1,0,NA,-0.5,0.5,NA
"9647","L1","L1 1",35,"disamb","rp","disamb rp",7,0,201,201,-0.5,0.5,201
"9649","L1","L1 2",46,"disamb","rp","disamb rp",7,0,159,159,-0.5,0.5,159
"9651","L1","L1 2",25,"disamb","rp","disamb rp",6,1,0,NA,0.5,-0.5,NA
"9653","L1","L1 2",39,"disamb","rp","disamb rp",8,1,0,NA,0.5,0.5,NA
"9655","L1","L1 2",38,"disamb","rp","disamb rp",7,0,1007,1007,-0.5,0.5,1007
"9657","L1","L1 2",30,"disamb","rp","disamb rp",7,0,576,576,-0.5,0.5,576
"9659","L1","L1 2",27,"disamb","rp","disamb rp",8,1,0,NA,0.5,0.5,NA
"9661","L1","L1 2",29,"disamb","rp","disamb rp",6,0,675,675,0.5,-0.5,675
"9663","L1","L1 2",33,"disamb","rp","disamb rp",6,1,0,NA,0.5,-0.5,NA
"9665","L1","L1 2",32,"disamb","rp","disamb rp",5,0,662,662,-0.5,-0.5,662
"9667","L1","L1 2",43,"disamb","rp","disamb rp",8,0,653,653,0.5,0.5,653
"9669","L1","L1 2",45,"disamb","rp","disamb rp",6,1,0,NA,0.5,-0.5,NA
"9671","L1","L1 2",48,"disamb","rp","disamb rp",5,1,0,NA,-0.5,-0.5,NA
"9673","L1","L1 2",47,"disamb","rp","disamb rp",8,1,0,NA,0.5,0.5,NA
"9675","L1","L1 2",31,"disamb","rp","disamb rp",8,0,407,407,0.5,0.5,407
"9677","L1","L1 2",26,"disamb","rp","disamb rp",7,0,183,183,-0.5,0.5,183
"9679","L1","L1 2",42,"disamb","rp","disamb rp",7,0,176,176,-0.5,0.5,176
"9681","L1","L1 2",36,"disamb","rp","disamb rp",5,0,194,194,-0.5,-0.5,194
"9683","L1","L1 2",35,"disamb","rp","disamb rp",8,1,0,NA,0.5,0.5,NA
"9685","L1","L1 2",44,"disamb","rp","disamb rp",5,0,514,514,-0.5,-0.5,514
"9687","L1","L1 2",41,"disamb","rp","disamb rp",6,0,315,315,0.5,-0.5,315
"9689","L1","L1 2",37,"disamb","rp","disamb rp",6,0,209,209,0.5,-0.5,209
"9691","L1","L1 2",40,"disamb","rp","disamb rp",5,1,0,NA,-0.5,-0.5,NA
"9693","L1","L1 2",28,"disamb","rp","disamb rp",5,1,0,NA,-0.5,-0.5,NA
"9695","L1","L1 2",34,"disamb","rp","disamb rp",7,0,301,301,-0.5,0.5,301
"9698","L1","L1 3",34,"disamb","rp","disamb rp",8,0,563,563,0.5,0.5,563
"9700","L1","L1 3",30,"disamb","rp","disamb rp",8,0,562,562,0.5,0.5,562
"9702","L1","L1 3",38,"disamb","rp","disamb rp",8,0,1617,1617,0.5,0.5,1617
