"","X","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"1",19201,-0.5,"L1 1",38,"disamb","tt","disamb tt",6,0,328,328,0.5,-0.5,328
"2",19203,-0.5,"L1 1",39,"disamb","tt","disamb tt",7,0,1822,1822,-0.5,0.5,1822
"3",19205,-0.5,"L1 1",26,"disamb","tt","disamb tt",6,0,336,336,0.5,-0.5,336
"4",19207,-0.5,"L1 1",34,"disamb","tt","disamb tt",6,0,283,283,0.5,-0.5,283
"5",19209,-0.5,"L1 1",46,"disamb","tt","disamb tt",6,0,376,376,0.5,-0.5,376
"6",19211,-0.5,"L1 1",29,"disamb","tt","disamb tt",5,0,485,485,-0.5,-0.5,485
"7",19213,-0.5,"L1 1",36,"disamb","tt","disamb tt",8,0,1782,1782,0.5,0.5,1782
"8",19215,-0.5,"L1 1",30,"disamb","tt","disamb tt",6,0,546,546,0.5,-0.5,546
"9",19217,-0.5,"L1 1",40,"disamb","tt","disamb tt",8,0,513,513,0.5,0.5,513
"10",19219,-0.5,"L1 1",33,"disamb","tt","disamb tt",5,0,558,558,-0.5,-0.5,558
"11",19221,-0.5,"L1 1",43,"disamb","tt","disamb tt",7,0,1409,1409,-0.5,0.5,1409
"12",19223,-0.5,"L1 1",28,"disamb","tt","disamb tt",8,0,732,732,0.5,0.5,732
"13",19225,-0.5,"L1 1",31,"disamb","tt","disamb tt",7,0,751,751,-0.5,0.5,751
"14",19227,-0.5,"L1 1",45,"disamb","tt","disamb tt",5,0,298,298,-0.5,-0.5,298
"15",19229,-0.5,"L1 1",25,"disamb","tt","disamb tt",5,0,956,956,-0.5,-0.5,956
"16",19231,-0.5,"L1 1",41,"disamb","tt","disamb tt",5,0,752,752,-0.5,-0.5,752
"17",19233,-0.5,"L1 1",42,"disamb","tt","disamb tt",6,0,1555,1555,0.5,-0.5,1555
"18",19235,-0.5,"L1 1",37,"disamb","tt","disamb tt",5,0,1224,1224,-0.5,-0.5,1224
"19",19237,-0.5,"L1 1",32,"disamb","tt","disamb tt",8,0,1022,1022,0.5,0.5,1022
"20",19239,-0.5,"L1 1",48,"disamb","tt","disamb tt",8,0,269,269,0.5,0.5,269
"21",19241,-0.5,"L1 1",47,"disamb","tt","disamb tt",7,0,177,177,-0.5,0.5,177
"22",19243,-0.5,"L1 1",44,"disamb","tt","disamb tt",8,0,405,405,0.5,0.5,405
"23",19245,-0.5,"L1 1",27,"disamb","tt","disamb tt",7,0,2518,2518,-0.5,0.5,2518
"24",19247,-0.5,"L1 1",35,"disamb","tt","disamb tt",7,0,1217,1217,-0.5,0.5,1217
"25",19249,-0.5,"L1 2",46,"disamb","tt","disamb tt",7,0,3285,3285,-0.5,0.5,NA
"26",19251,-0.5,"L1 2",25,"disamb","tt","disamb tt",6,0,343,343,0.5,-0.5,343
"27",19253,-0.5,"L1 2",39,"disamb","tt","disamb tt",8,0,435,435,0.5,0.5,435
"28",19255,-0.5,"L1 2",38,"disamb","tt","disamb tt",7,0,1358,1358,-0.5,0.5,1358
"29",19257,-0.5,"L1 2",30,"disamb","tt","disamb tt",7,0,717,717,-0.5,0.5,717
"30",19259,-0.5,"L1 2",27,"disamb","tt","disamb tt",8,0,1532,1532,0.5,0.5,1532
"31",19261,-0.5,"L1 2",29,"disamb","tt","disamb tt",6,0,1452,1452,0.5,-0.5,1452
"32",19263,-0.5,"L1 2",33,"disamb","tt","disamb tt",6,0,159,159,0.5,-0.5,159
"33",19265,-0.5,"L1 2",32,"disamb","tt","disamb tt",5,0,704,704,-0.5,-0.5,704
"34",19267,-0.5,"L1 2",43,"disamb","tt","disamb tt",8,0,606,606,0.5,0.5,606
"35",19269,-0.5,"L1 2",45,"disamb","tt","disamb tt",6,1,0,NA,0.5,-0.5,NA
"36",19271,-0.5,"L1 2",48,"disamb","tt","disamb tt",5,0,216,216,-0.5,-0.5,216
"37",19273,-0.5,"L1 2",47,"disamb","tt","disamb tt",8,0,621,621,0.5,0.5,621
"38",19275,-0.5,"L1 2",31,"disamb","tt","disamb tt",8,0,919,919,0.5,0.5,919
"39",19277,-0.5,"L1 2",26,"disamb","tt","disamb tt",7,0,989,989,-0.5,0.5,989
"40",19279,-0.5,"L1 2",42,"disamb","tt","disamb tt",7,0,922,922,-0.5,0.5,922
"41",19281,-0.5,"L1 2",36,"disamb","tt","disamb tt",5,0,377,377,-0.5,-0.5,377
"42",19283,-0.5,"L1 2",35,"disamb","tt","disamb tt",8,0,1023,1023,0.5,0.5,1023
"43",19285,-0.5,"L1 2",44,"disamb","tt","disamb tt",5,0,208,208,-0.5,-0.5,208
"44",19287,-0.5,"L1 2",41,"disamb","tt","disamb tt",6,0,315,315,0.5,-0.5,315
"45",19289,-0.5,"L1 2",37,"disamb","tt","disamb tt",6,0,209,209,0.5,-0.5,209
"46",19291,-0.5,"L1 2",40,"disamb","tt","disamb tt",5,1,0,NA,-0.5,-0.5,NA
"47",19293,-0.5,"L1 2",28,"disamb","tt","disamb tt",5,0,400,400,-0.5,-0.5,400
"48",19295,-0.5,"L1 2",34,"disamb","tt","disamb tt",7,0,301,301,-0.5,0.5,301
"49",19298,-0.5,"L1 3",34,"disamb","tt","disamb tt",8,0,563,563,0.5,0.5,563
"50",19300,-0.5,"L1 3",30,"disamb","tt","disamb tt",8,0,1989,1989,0.5,0.5,1989
"51",19302,-0.5,"L1 3",38,"disamb","tt","disamb tt",8,0,1665,1665,0.5,0.5,1665
"52",19304,-0.5,"L1 3",43,"disamb","tt","disamb tt",5,0,835,835,-0.5,-0.5,835
"53",19306,-0.5,"L1 3",47,"disamb","tt","disamb tt",5,0,1686,1686,-0.5,-0.5,1686
"54",19308,-0.5,"L1 3",25,"disamb","tt","disamb tt",7,0,849,849,-0.5,0.5,849
"55",19310,-0.5,"L1 3",37,"disamb","tt","disamb tt",7,0,1657,1657,-0.5,0.5,1657
"56",19312,-0.5,"L1 3",40,"disamb","tt","disamb tt",6,0,1284,1284,0.5,-0.5,1284
"57",19314,-0.5,"L1 3",42,"disamb","tt","disamb tt",8,0,2422,2422,0.5,0.5,2422
"58",19316,-0.5,"L1 3",33,"disamb","tt","disamb tt",7,0,416,416,-0.5,0.5,416
"59",19318,-0.5,"L1 3",39,"disamb","tt","disamb tt",5,0,1204,1204,-0.5,-0.5,1204
"60",19320,-0.5,"L1 3",41,"disamb","tt","disamb tt",7,0,917,917,-0.5,0.5,917
"61",19322,-0.5,"L1 3",27,"disamb","tt","disamb tt",5,0,1220,1220,-0.5,-0.5,1220
"62",19324,-0.5,"L1 3",29,"disamb","tt","disamb tt",7,0,1766,1766,-0.5,0.5,1766
"63",19326,-0.5,"L1 3",46,"disamb","tt","disamb tt",8,0,946,946,0.5,0.5,946
"64",19328,-0.5,"L1 3",28,"disamb","tt","disamb tt",6,0,785,785,0.5,-0.5,785
"65",19330,-0.5,"L1 3",35,"disamb","tt","disamb tt",5,0,2351,2351,-0.5,-0.5,2351
"66",19332,-0.5,"L1 3",45,"disamb","tt","disamb tt",7,0,1128,1128,-0.5,0.5,1128
"67",19334,-0.5,"L1 3",32,"disamb","tt","disamb tt",6,0,1633,1633,0.5,-0.5,1633
"68",19336,-0.5,"L1 3",26,"disamb","tt","disamb tt",8,0,2004,2004,0.5,0.5,2004
"69",19338,-0.5,"L1 3",36,"disamb","tt","disamb tt",6,0,925,925,0.5,-0.5,925
"70",19340,-0.5,"L1 3",31,"disamb","tt","disamb tt",5,0,971,971,-0.5,-0.5,971
"71",19342,-0.5,"L1 3",48,"disamb","tt","disamb tt",6,0,1329,1329,0.5,-0.5,1329
"72",19344,-0.5,"L1 3",44,"disamb","tt","disamb tt",6,0,502,502,0.5,-0.5,502
"73",19346,-0.5,"L1 4",43,"disamb","tt","disamb tt",6,0,594,594,0.5,-0.5,594
"74",19348,-0.5,"L1 4",33,"disamb","tt","disamb tt",8,0,491,491,0.5,0.5,491
"75",19350,-0.5,"L1 4",29,"disamb","tt","disamb tt",8,0,211,211,0.5,0.5,211
"76",19352,-0.5,"L1 4",41,"disamb","tt","disamb tt",8,0,183,183,0.5,0.5,183
"77",19354,-0.5,"L1 4",26,"disamb","tt","disamb tt",5,0,498,498,-0.5,-0.5,498
"78",19356,-0.5,"L1 4",28,"disamb","tt","disamb tt",7,0,375,375,-0.5,0.5,375
"79",19358,-0.5,"L1 4",25,"disamb","tt","disamb tt",8,0,273,273,0.5,0.5,273
"80",19360,-0.5,"L1 4",34,"disamb","tt","disamb tt",5,0,347,347,-0.5,-0.5,347
"81",19362,-0.5,"L1 4",38,"disamb","tt","disamb tt",5,0,262,262,-0.5,-0.5,262
"82",19364,-0.5,"L1 4",30,"disamb","tt","disamb tt",5,0,194,194,-0.5,-0.5,194
"83",19366,-0.5,"L1 4",48,"disamb","tt","disamb tt",7,0,166,166,-0.5,0.5,166
"84",19368,-0.5,"L1 4",27,"disamb","tt","disamb tt",6,0,393,393,0.5,-0.5,393
"85",19370,-0.5,"L1 4",35,"disamb","tt","disamb tt",6,0,661,661,0.5,-0.5,661
"86",19372,-0.5,"L1 4",45,"disamb","tt","disamb tt",8,0,293,293,0.5,0.5,293
"87",19374,-0.5,"L1 4",42,"disamb","tt","disamb tt",5,0,277,277,-0.5,-0.5,277
