"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"7681",-0.5,"L1 1",38,"spillover2","fp","spillover2 fp",6,0,381,381,0.5,-0.5,381
"7683",-0.5,"L1 1",39,"spillover2","fp","spillover2 fp",7,0,371,371,-0.5,0.5,371
"7685",-0.5,"L1 1",26,"spillover2","fp","spillover2 fp",6,0,185,185,0.5,-0.5,185
"7687",-0.5,"L1 1",34,"spillover2","fp","spillover2 fp",6,0,567,567,0.5,-0.5,567
"7689",-0.5,"L1 1",46,"spillover2","fp","spillover2 fp",6,0,296,296,0.5,-0.5,296
"7691",-0.5,"L1 1",29,"spillover2","fp","spillover2 fp",5,0,271,271,-0.5,-0.5,271
"7693",-0.5,"L1 1",36,"spillover2","fp","spillover2 fp",8,0,339,339,0.5,0.5,339
"7695",-0.5,"L1 1",30,"spillover2","fp","spillover2 fp",6,0,185,185,0.5,-0.5,185
"7697",-0.5,"L1 1",40,"spillover2","fp","spillover2 fp",8,0,186,186,0.5,0.5,186
"7699",-0.5,"L1 1",33,"spillover2","fp","spillover2 fp",5,0,660,660,-0.5,-0.5,660
"7701",-0.5,"L1 1",43,"spillover2","fp","spillover2 fp",7,0,287,287,-0.5,0.5,287
"7703",-0.5,"L1 1",28,"spillover2","fp","spillover2 fp",8,0,572,572,0.5,0.5,572
"7705",-0.5,"L1 1",31,"spillover2","fp","spillover2 fp",7,0,600,600,-0.5,0.5,600
"7707",-0.5,"L1 1",45,"spillover2","fp","spillover2 fp",5,0,644,644,-0.5,-0.5,644
"7709",-0.5,"L1 1",25,"spillover2","fp","spillover2 fp",5,0,834,834,-0.5,-0.5,834
"7711",-0.5,"L1 1",41,"spillover2","fp","spillover2 fp",5,0,236,236,-0.5,-0.5,236
"7713",-0.5,"L1 1",42,"spillover2","fp","spillover2 fp",6,0,581,581,0.5,-0.5,581
"7715",-0.5,"L1 1",37,"spillover2","fp","spillover2 fp",5,0,1409,1409,-0.5,-0.5,1409
"7717",-0.5,"L1 1",32,"spillover2","fp","spillover2 fp",8,0,189,189,0.5,0.5,189
"7719",-0.5,"L1 1",48,"spillover2","fp","spillover2 fp",8,0,278,278,0.5,0.5,278
"7721",-0.5,"L1 1",47,"spillover2","fp","spillover2 fp",7,0,209,209,-0.5,0.5,209
"7723",-0.5,"L1 1",44,"spillover2","fp","spillover2 fp",8,0,605,605,0.5,0.5,605
"7725",-0.5,"L1 1",27,"spillover2","fp","spillover2 fp",7,0,358,358,-0.5,0.5,358
"7727",-0.5,"L1 1",35,"spillover2","fp","spillover2 fp",7,0,204,204,-0.5,0.5,204
"7729",-0.5,"L1 2",46,"spillover2","fp","spillover2 fp",7,0,211,211,-0.5,0.5,211
"7731",-0.5,"L1 2",25,"spillover2","fp","spillover2 fp",6,0,548,548,0.5,-0.5,548
"7733",-0.5,"L1 2",39,"spillover2","fp","spillover2 fp",8,0,188,188,0.5,0.5,188
"7735",-0.5,"L1 2",38,"spillover2","fp","spillover2 fp",7,0,526,526,-0.5,0.5,526
"7737",-0.5,"L1 2",30,"spillover2","fp","spillover2 fp",7,0,225,225,-0.5,0.5,225
"7739",-0.5,"L1 2",27,"spillover2","fp","spillover2 fp",8,0,197,197,0.5,0.5,197
"7741",-0.5,"L1 2",29,"spillover2","fp","spillover2 fp",6,0,644,644,0.5,-0.5,644
"7743",-0.5,"L1 2",33,"spillover2","fp","spillover2 fp",6,0,292,292,0.5,-0.5,292
"7745",-0.5,"L1 2",32,"spillover2","fp","spillover2 fp",5,0,972,972,-0.5,-0.5,972
"7747",-0.5,"L1 2",43,"spillover2","fp","spillover2 fp",8,0,375,375,0.5,0.5,375
"7749",-0.5,"L1 2",45,"spillover2","fp","spillover2 fp",6,0,226,226,0.5,-0.5,226
"7751",-0.5,"L1 2",48,"spillover2","fp","spillover2 fp",5,0,373,373,-0.5,-0.5,373
"7753",-0.5,"L1 2",47,"spillover2","fp","spillover2 fp",8,0,212,212,0.5,0.5,212
"7755",-0.5,"L1 2",31,"spillover2","fp","spillover2 fp",8,0,313,313,0.5,0.5,313
"7757",-0.5,"L1 2",26,"spillover2","fp","spillover2 fp",7,0,112,112,-0.5,0.5,112
"7759",-0.5,"L1 2",42,"spillover2","fp","spillover2 fp",7,0,818,818,-0.5,0.5,818
"7761",-0.5,"L1 2",36,"spillover2","fp","spillover2 fp",5,0,1220,1220,-0.5,-0.5,1220
"7763",-0.5,"L1 2",35,"spillover2","fp","spillover2 fp",8,0,195,195,0.5,0.5,195
"7765",-0.5,"L1 2",44,"spillover2","fp","spillover2 fp",5,0,341,341,-0.5,-0.5,341
"7767",-0.5,"L1 2",41,"spillover2","fp","spillover2 fp",6,0,621,621,0.5,-0.5,621
"7769",-0.5,"L1 2",37,"spillover2","fp","spillover2 fp",6,0,1854,1854,0.5,-0.5,1854
"7771",-0.5,"L1 2",40,"spillover2","fp","spillover2 fp",5,0,402,402,-0.5,-0.5,402
"7773",-0.5,"L1 2",28,"spillover2","fp","spillover2 fp",5,0,414,414,-0.5,-0.5,414
"7775",-0.5,"L1 2",34,"spillover2","fp","spillover2 fp",7,0,374,374,-0.5,0.5,374
"7778",-0.5,"L1 3",34,"spillover2","fp","spillover2 fp",8,0,941,941,0.5,0.5,941
"7780",-0.5,"L1 3",30,"spillover2","fp","spillover2 fp",8,0,1004,1004,0.5,0.5,1004
"7782",-0.5,"L1 3",38,"spillover2","fp","spillover2 fp",8,0,1096,1096,0.5,0.5,1096
"7784",-0.5,"L1 3",43,"spillover2","fp","spillover2 fp",5,0,640,640,-0.5,-0.5,640
"7786",-0.5,"L1 3",47,"spillover2","fp","spillover2 fp",5,0,1299,1299,-0.5,-0.5,1299
"7788",-0.5,"L1 3",25,"spillover2","fp","spillover2 fp",7,0,1078,1078,-0.5,0.5,1078
"7790",-0.5,"L1 3",37,"spillover2","fp","spillover2 fp",7,0,790,790,-0.5,0.5,790
"7792",-0.5,"L1 3",40,"spillover2","fp","spillover2 fp",6,0,539,539,0.5,-0.5,539
"7794",-0.5,"L1 3",42,"spillover2","fp","spillover2 fp",8,0,362,362,0.5,0.5,362
"7796",-0.5,"L1 3",33,"spillover2","fp","spillover2 fp",7,0,1222,1222,-0.5,0.5,1222
"7798",-0.5,"L1 3",39,"spillover2","fp","spillover2 fp",5,0,1118,1118,-0.5,-0.5,1118
"7800",-0.5,"L1 3",41,"spillover2","fp","spillover2 fp",7,0,566,566,-0.5,0.5,566
"7802",-0.5,"L1 3",27,"spillover2","fp","spillover2 fp",5,0,696,696,-0.5,-0.5,696
"7804",-0.5,"L1 3",29,"spillover2","fp","spillover2 fp",7,0,1306,1306,-0.5,0.5,1306
"7806",-0.5,"L1 3",46,"spillover2","fp","spillover2 fp",8,0,946,946,0.5,0.5,946
