"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"2",-0.5,"L1 1",24,"disamb","fp","disamb fp",4,0,552,552,0.5,0.5,552
"4",-0.5,"L1 1",12,"disamb","fp","disamb fp",4,0,464,464,0.5,0.5,464
"6",-0.5,"L1 1",6,"disamb","fp","disamb fp",2,0,344,344,-0.5,0.5,344
"8",-0.5,"L1 1",7,"disamb","fp","disamb fp",3,0,186,186,0.5,-0.5,186
"10",-0.5,"L1 1",14,"disamb","fp","disamb fp",2,0,478,478,-0.5,0.5,478
"12",-0.5,"L1 1",21,"disamb","fp","disamb fp",1,0,527,527,-0.5,-0.5,527
"14",-0.5,"L1 1",19,"disamb","fp","disamb fp",3,0,206,206,0.5,-0.5,206
"16",-0.5,"L1 1",17,"disamb","fp","disamb fp",1,0,938,938,-0.5,-0.5,938
"18",-0.5,"L1 1",10,"disamb","fp","disamb fp",2,0,698,698,-0.5,0.5,698
"20",-0.5,"L1 1",23,"disamb","fp","disamb fp",3,0,739,739,0.5,-0.5,739
"22",-0.5,"L1 1",15,"disamb","fp","disamb fp",3,0,543,543,0.5,-0.5,543
"24",-0.5,"L1 1",1,"disamb","fp","disamb fp",1,0,380,380,-0.5,-0.5,380
"26",-0.5,"L1 1",2,"disamb","fp","disamb fp",2,0,485,485,-0.5,0.5,485
"28",-0.5,"L1 1",5,"disamb","fp","disamb fp",1,0,755,755,-0.5,-0.5,755
"30",-0.5,"L1 1",16,"disamb","fp","disamb fp",4,0,497,497,0.5,0.5,497
"32",-0.5,"L1 1",3,"disamb","fp","disamb fp",3,0,2426,2426,0.5,-0.5,NA
"34",-0.5,"L1 1",13,"disamb","fp","disamb fp",1,0,945,945,-0.5,-0.5,945
"36",-0.5,"L1 1",11,"disamb","fp","disamb fp",3,0,671,671,0.5,-0.5,671
"38",-0.5,"L1 1",9,"disamb","fp","disamb fp",1,0,513,513,-0.5,-0.5,513
"40",-0.5,"L1 1",8,"disamb","fp","disamb fp",4,0,731,731,0.5,0.5,731
"42",-0.5,"L1 1",4,"disamb","fp","disamb fp",4,0,477,477,0.5,0.5,477
"44",-0.5,"L1 1",20,"disamb","fp","disamb fp",4,0,722,722,0.5,0.5,722
"46",-0.5,"L1 1",18,"disamb","fp","disamb fp",2,0,500,500,-0.5,0.5,500
"48",-0.5,"L1 1",22,"disamb","fp","disamb fp",2,0,170,170,-0.5,0.5,170
"50",-0.5,"L1 2",14,"disamb","fp","disamb fp",3,0,407,407,0.5,-0.5,407
"52",-0.5,"L1 2",4,"disamb","fp","disamb fp",1,0,989,989,-0.5,-0.5,989
"54",-0.5,"L1 2",19,"disamb","fp","disamb fp",4,0,445,445,0.5,0.5,445
"56",-0.5,"L1 2",1,"disamb","fp","disamb fp",2,0,399,399,-0.5,0.5,399
"58",-0.5,"L1 2",5,"disamb","fp","disamb fp",2,0,683,683,-0.5,0.5,683
"60",-0.5,"L1 2",15,"disamb","fp","disamb fp",4,0,178,178,0.5,0.5,178
"62",-0.5,"L1 2",7,"disamb","fp","disamb fp",4,0,177,177,0.5,0.5,177
"64",-0.5,"L1 2",18,"disamb","fp","disamb fp",3,0,498,498,0.5,-0.5,498
"66",-0.5,"L1 2",6,"disamb","fp","disamb fp",3,0,553,553,0.5,-0.5,553
"68",-0.5,"L1 2",22,"disamb","fp","disamb fp",3,0,754,754,0.5,-0.5,754
"70",-0.5,"L1 2",10,"disamb","fp","disamb fp",3,0,552,552,0.5,-0.5,552
"72",-0.5,"L1 2",8,"disamb","fp","disamb fp",1,0,307,307,-0.5,-0.5,307
"74",-0.5,"L1 2",24,"disamb","fp","disamb fp",1,0,448,448,-0.5,-0.5,448
"76",-0.5,"L1 2",17,"disamb","fp","disamb fp",2,0,192,192,-0.5,0.5,192
"78",-0.5,"L1 2",2,"disamb","fp","disamb fp",3,0,392,392,0.5,-0.5,392
"80",-0.5,"L1 2",11,"disamb","fp","disamb fp",4,0,250,250,0.5,0.5,250
"82",-0.5,"L1 2",3,"disamb","fp","disamb fp",4,0,371,371,0.5,0.5,371
"84",-0.5,"L1 2",21,"disamb","fp","disamb fp",2,0,183,183,-0.5,0.5,183
"86",-0.5,"L1 2",20,"disamb","fp","disamb fp",1,0,438,438,-0.5,-0.5,438
"88",-0.5,"L1 2",16,"disamb","fp","disamb fp",1,0,142,142,-0.5,-0.5,142
"90",-0.5,"L1 2",13,"disamb","fp","disamb fp",2,0,519,519,-0.5,0.5,519
"92",-0.5,"L1 2",9,"disamb","fp","disamb fp",2,0,414,414,-0.5,0.5,414
"94",-0.5,"L1 2",12,"disamb","fp","disamb fp",1,0,726,726,-0.5,-0.5,726
"96",-0.5,"L1 2",23,"disamb","fp","disamb fp",4,0,757,757,0.5,0.5,757
"97",-0.5,"L1 3",11,"disamb","fp","disamb fp",1,0,177,177,-0.5,-0.5,177
"99",-0.5,"L1 3",21,"disamb","fp","disamb fp",3,0,488,488,0.5,-0.5,488
"101",-0.5,"L1 3",2,"disamb","fp","disamb fp",4,0,988,988,0.5,0.5,988
"103",-0.5,"L1 3",20,"disamb","fp","disamb fp",2,0,338,338,-0.5,0.5,338
"105",-0.5,"L1 3",9,"disamb","fp","disamb fp",3,0,621,621,0.5,-0.5,621
"107",-0.5,"L1 3",4,"disamb","fp","disamb fp",2,0,135,135,-0.5,0.5,135
"109",-0.5,"L1 3",3,"disamb","fp","disamb fp",1,0,674,674,-0.5,-0.5,674
"111",-0.5,"L1 3",1,"disamb","fp","disamb fp",3,0,804,804,0.5,-0.5,804
"113",-0.5,"L1 3",13,"disamb","fp","disamb fp",3,0,458,458,0.5,-0.5,458
"115",-0.5,"L1 3",18,"disamb","fp","disamb fp",4,0,689,689,0.5,0.5,689
"117",-0.5,"L1 3",7,"disamb","fp","disamb fp",1,0,210,210,-0.5,-0.5,210
"119",-0.5,"L1 3",5,"disamb","fp","disamb fp",3,0,718,718,0.5,-0.5,718
"121",-0.5,"L1 3",15,"disamb","fp","disamb fp",1,0,267,267,-0.5,-0.5,267
"123",-0.5,"L1 3",16,"disamb","fp","disamb fp",2,0,149,149,-0.5,0.5,149
"125",-0.5,"L1 3",8,"disamb","fp","disamb fp",2,0,222,222,-0.5,0.5,222
"127",-0.5,"L1 3",22,"disamb","fp","disamb fp",4,0,320,320,0.5,0.5,320
"129",-0.5,"L1 3",17,"disamb","fp","disamb fp",3,0,828,828,0.5,-0.5,828
"131",-0.5,"L1 3",19,"disamb","fp","disamb fp",1,0,862,862,-0.5,-0.5,862
"133",-0.5,"L1 3",23,"disamb","fp","disamb fp",1,0,1460,1460,-0.5,-0.5,1460
"135",-0.5,"L1 3",14,"disamb","fp","disamb fp",4,0,839,839,0.5,0.5,839
"137",-0.5,"L1 3",24,"disamb","fp","disamb fp",2,0,598,598,-0.5,0.5,598
"139",-0.5,"L1 3",10,"disamb","fp","disamb fp",4,0,1056,1056,0.5,0.5,1056
"141",-0.5,"L1 3",12,"disamb","fp","disamb fp",2,0,838,838,-0.5,0.5,838
"143",-0.5,"L1 3",6,"disamb","fp","disamb fp",4,0,1700,1700,0.5,0.5,1700
"145",-0.5,"L1 4",21,"disamb","fp","disamb fp",4,0,157,157,0.5,0.5,157
"147",-0.5,"L1 4",14,"disamb","fp","disamb fp",1,0,578,578,-0.5,-0.5,578
"149",-0.5,"L1 4",22,"disamb","fp","disamb fp",1,0,548,548,-0.5,-0.5,548
"151",-0.5,"L1 4",11,"disamb","fp","disamb fp",2,0,394,394,-0.5,0.5,394
"153",-0.5,"L1 4",15,"disamb","fp","disamb fp",2,0,651,651,-0.5,0.5,651
