"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"19202",-0.5,"L1 1",24,"disamb","tt","disamb tt",4,0,552,552,0.5,0.5,552
"19204",-0.5,"L1 1",12,"disamb","tt","disamb tt",4,0,2328,2328,0.5,0.5,2328
"19206",-0.5,"L1 1",6,"disamb","tt","disamb tt",2,0,1740,1740,-0.5,0.5,1740
"19208",-0.5,"L1 1",7,"disamb","tt","disamb tt",3,0,980,980,0.5,-0.5,980
"19210",-0.5,"L1 1",14,"disamb","tt","disamb tt",2,0,954,954,-0.5,0.5,954
"19212",-0.5,"L1 1",21,"disamb","tt","disamb tt",1,0,1461,1461,-0.5,-0.5,1461
"19214",-0.5,"L1 1",19,"disamb","tt","disamb tt",3,0,206,206,0.5,-0.5,206
"19216",-0.5,"L1 1",17,"disamb","tt","disamb tt",1,0,1102,1102,-0.5,-0.5,1102
"19218",-0.5,"L1 1",10,"disamb","tt","disamb tt",2,0,1227,1227,-0.5,0.5,1227
"19220",-0.5,"L1 1",23,"disamb","tt","disamb tt",3,0,1483,1483,0.5,-0.5,1483
"19222",-0.5,"L1 1",15,"disamb","tt","disamb tt",3,0,543,543,0.5,-0.5,543
"19224",-0.5,"L1 1",1,"disamb","tt","disamb tt",1,0,380,380,-0.5,-0.5,380
"19226",-0.5,"L1 1",2,"disamb","tt","disamb tt",2,0,485,485,-0.5,0.5,485
"19228",-0.5,"L1 1",5,"disamb","tt","disamb tt",1,0,755,755,-0.5,-0.5,755
"19230",-0.5,"L1 1",16,"disamb","tt","disamb tt",4,0,751,751,0.5,0.5,751
"19232",-0.5,"L1 1",3,"disamb","tt","disamb tt",3,0,2426,2426,0.5,-0.5,2426
"19234",-0.5,"L1 1",13,"disamb","tt","disamb tt",1,0,1175,1175,-0.5,-0.5,1175
"19236",-0.5,"L1 1",11,"disamb","tt","disamb tt",3,0,671,671,0.5,-0.5,671
"19238",-0.5,"L1 1",9,"disamb","tt","disamb tt",1,0,513,513,-0.5,-0.5,513
"19240",-0.5,"L1 1",8,"disamb","tt","disamb tt",4,0,1338,1338,0.5,0.5,1338
"19242",-0.5,"L1 1",4,"disamb","tt","disamb tt",4,0,477,477,0.5,0.5,477
"19244",-0.5,"L1 1",20,"disamb","tt","disamb tt",4,0,1778,1778,0.5,0.5,1778
"19246",-0.5,"L1 1",18,"disamb","tt","disamb tt",2,0,500,500,-0.5,0.5,500
"19248",-0.5,"L1 1",22,"disamb","tt","disamb tt",2,0,993,993,-0.5,0.5,993
"19250",-0.5,"L1 2",14,"disamb","tt","disamb tt",3,0,1351,1351,0.5,-0.5,1351
"19252",-0.5,"L1 2",4,"disamb","tt","disamb tt",1,0,1646,1646,-0.5,-0.5,1646
"19254",-0.5,"L1 2",19,"disamb","tt","disamb tt",4,0,854,854,0.5,0.5,854
"19256",-0.5,"L1 2",1,"disamb","tt","disamb tt",2,0,887,887,-0.5,0.5,887
"19258",-0.5,"L1 2",5,"disamb","tt","disamb tt",2,0,1055,1055,-0.5,0.5,1055
"19260",-0.5,"L1 2",15,"disamb","tt","disamb tt",4,0,2291,2291,0.5,0.5,2291
"19262",-0.5,"L1 2",7,"disamb","tt","disamb tt",4,0,477,477,0.5,0.5,477
"19264",-0.5,"L1 2",18,"disamb","tt","disamb tt",3,0,498,498,0.5,-0.5,498
"19266",-0.5,"L1 2",6,"disamb","tt","disamb tt",3,0,850,850,0.5,-0.5,850
"19268",-0.5,"L1 2",22,"disamb","tt","disamb tt",3,0,1740,1740,0.5,-0.5,1740
"19270",-0.5,"L1 2",10,"disamb","tt","disamb tt",3,0,865,865,0.5,-0.5,865
"19272",-0.5,"L1 2",8,"disamb","tt","disamb tt",1,0,1342,1342,-0.5,-0.5,1342
"19274",-0.5,"L1 2",24,"disamb","tt","disamb tt",1,0,947,947,-0.5,-0.5,947
"19276",-0.5,"L1 2",17,"disamb","tt","disamb tt",2,0,681,681,-0.5,0.5,681
"19278",-0.5,"L1 2",2,"disamb","tt","disamb tt",3,0,392,392,0.5,-0.5,392
"19280",-0.5,"L1 2",11,"disamb","tt","disamb tt",4,0,442,442,0.5,0.5,442
"19282",-0.5,"L1 2",3,"disamb","tt","disamb tt",4,0,371,371,0.5,0.5,371
"19284",-0.5,"L1 2",21,"disamb","tt","disamb tt",2,0,183,183,-0.5,0.5,183
"19286",-0.5,"L1 2",20,"disamb","tt","disamb tt",1,0,438,438,-0.5,-0.5,438
"19288",-0.5,"L1 2",16,"disamb","tt","disamb tt",1,0,515,515,-0.5,-0.5,515
"19290",-0.5,"L1 2",13,"disamb","tt","disamb tt",2,0,519,519,-0.5,0.5,519
"19292",-0.5,"L1 2",9,"disamb","tt","disamb tt",2,0,2017,2017,-0.5,0.5,2017
"19294",-0.5,"L1 2",12,"disamb","tt","disamb tt",1,0,726,726,-0.5,-0.5,726
"19296",-0.5,"L1 2",23,"disamb","tt","disamb tt",4,0,757,757,0.5,0.5,757
"19297",-0.5,"L1 3",11,"disamb","tt","disamb tt",1,0,838,838,-0.5,-0.5,838
"19299",-0.5,"L1 3",21,"disamb","tt","disamb tt",3,0,488,488,0.5,-0.5,488
"19301",-0.5,"L1 3",2,"disamb","tt","disamb tt",4,0,3886,3886,0.5,0.5,3886
"19303",-0.5,"L1 3",20,"disamb","tt","disamb tt",2,0,3506,3506,-0.5,0.5,3506
"19305",-0.5,"L1 3",9,"disamb","tt","disamb tt",3,0,838,838,0.5,-0.5,838
"19307",-0.5,"L1 3",4,"disamb","tt","disamb tt",2,0,3084,3084,-0.5,0.5,3084
"19309",-0.5,"L1 3",3,"disamb","tt","disamb tt",1,0,1505,1505,-0.5,-0.5,1505
"19311",-0.5,"L1 3",1,"disamb","tt","disamb tt",3,0,1295,1295,0.5,-0.5,1295
"19313",-0.5,"L1 3",13,"disamb","tt","disamb tt",3,0,2302,2302,0.5,-0.5,2302
"19315",-0.5,"L1 3",18,"disamb","tt","disamb tt",4,0,689,689,0.5,0.5,689
"19317",-0.5,"L1 3",7,"disamb","tt","disamb tt",1,0,1799,1799,-0.5,-0.5,1799
"19319",-0.5,"L1 3",5,"disamb","tt","disamb tt",3,0,1415,1415,0.5,-0.5,1415
"19321",-0.5,"L1 3",15,"disamb","tt","disamb tt",1,0,1072,1072,-0.5,-0.5,1072
"19323",-0.5,"L1 3",16,"disamb","tt","disamb tt",2,0,1523,1523,-0.5,0.5,1523
"19325",-0.5,"L1 3",8,"disamb","tt","disamb tt",2,0,2017,2017,-0.5,0.5,2017
"19327",-0.5,"L1 3",22,"disamb","tt","disamb tt",4,0,3390,3390,0.5,0.5,3390
"19329",-0.5,"L1 3",17,"disamb","tt","disamb tt",3,0,828,828,0.5,-0.5,828
