"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"13442",-0.5,"L1 1",24,"spillover","rp","spillover rp",4,0,500,500,0.5,0.5,500
"13444",-0.5,"L1 1",12,"spillover","rp","spillover rp",4,0,3463,3463,0.5,0.5,3463
"13446",-0.5,"L1 1",6,"spillover","rp","spillover rp",2,0,1608,1608,-0.5,0.5,1608
"13448",-0.5,"L1 1",7,"spillover","rp","spillover rp",3,0,2258,2258,0.5,-0.5,2258
"13450",-0.5,"L1 1",14,"spillover","rp","spillover rp",2,0,644,644,-0.5,0.5,644
"13452",-0.5,"L1 1",21,"spillover","rp","spillover rp",1,0,5010,5010,-0.5,-0.5,5010
"13454",-0.5,"L1 1",19,"spillover","rp","spillover rp",3,0,668,668,0.5,-0.5,668
"13456",-0.5,"L1 1",17,"spillover","rp","spillover rp",1,0,648,648,-0.5,-0.5,648
"13458",-0.5,"L1 1",10,"spillover","rp","spillover rp",2,0,2462,2462,-0.5,0.5,2462
"13460",-0.5,"L1 1",23,"spillover","rp","spillover rp",3,0,359,359,0.5,-0.5,359
"13462",-0.5,"L1 1",15,"spillover","rp","spillover rp",3,0,2101,2101,0.5,-0.5,2101
"13464",-0.5,"L1 1",1,"spillover","rp","spillover rp",1,0,593,593,-0.5,-0.5,593
"13466",-0.5,"L1 1",2,"spillover","rp","spillover rp",2,0,1006,1006,-0.5,0.5,1006
"13468",-0.5,"L1 1",5,"spillover","rp","spillover rp",1,0,515,515,-0.5,-0.5,515
"13470",-0.5,"L1 1",16,"spillover","rp","spillover rp",4,0,1693,1693,0.5,0.5,1693
"13472",-0.5,"L1 1",3,"spillover","rp","spillover rp",3,0,760,760,0.5,-0.5,760
"13474",-0.5,"L1 1",13,"spillover","rp","spillover rp",1,0,659,659,-0.5,-0.5,659
"13476",-0.5,"L1 1",11,"spillover","rp","spillover rp",3,0,695,695,0.5,-0.5,695
"13478",-0.5,"L1 1",9,"spillover","rp","spillover rp",1,0,1431,1431,-0.5,-0.5,1431
"13480",-0.5,"L1 1",8,"spillover","rp","spillover rp",4,0,4239,4239,0.5,0.5,4239
"13482",-0.5,"L1 1",4,"spillover","rp","spillover rp",4,0,1217,1217,0.5,0.5,1217
"13484",-0.5,"L1 1",20,"spillover","rp","spillover rp",4,0,776,776,0.5,0.5,776
"13486",-0.5,"L1 1",18,"spillover","rp","spillover rp",2,0,467,467,-0.5,0.5,467
"13488",-0.5,"L1 1",22,"spillover","rp","spillover rp",2,0,567,567,-0.5,0.5,567
"13490",-0.5,"L1 2",14,"spillover","rp","spillover rp",3,0,738,738,0.5,-0.5,738
"13492",-0.5,"L1 2",4,"spillover","rp","spillover rp",1,0,431,431,-0.5,-0.5,431
"13494",-0.5,"L1 2",19,"spillover","rp","spillover rp",4,0,533,533,0.5,0.5,533
"13496",-0.5,"L1 2",1,"spillover","rp","spillover rp",2,0,421,421,-0.5,0.5,421
"13498",-0.5,"L1 2",5,"spillover","rp","spillover rp",2,0,3116,3116,-0.5,0.5,3116
"13500",-0.5,"L1 2",15,"spillover","rp","spillover rp",4,0,122,122,0.5,0.5,122
"13502",-0.5,"L1 2",7,"spillover","rp","spillover rp",4,0,1329,1329,0.5,0.5,1329
"13504",-0.5,"L1 2",18,"spillover","rp","spillover rp",3,0,452,452,0.5,-0.5,452
"13506",-0.5,"L1 2",6,"spillover","rp","spillover rp",3,0,439,439,0.5,-0.5,439
"13508",-0.5,"L1 2",22,"spillover","rp","spillover rp",3,0,404,404,0.5,-0.5,404
"13510",-0.5,"L1 2",10,"spillover","rp","spillover rp",3,0,311,311,0.5,-0.5,311
"13512",-0.5,"L1 2",8,"spillover","rp","spillover rp",1,0,2141,2141,-0.5,-0.5,2141
"13514",-0.5,"L1 2",24,"spillover","rp","spillover rp",1,0,125,125,-0.5,-0.5,125
"13516",-0.5,"L1 2",17,"spillover","rp","spillover rp",2,0,1612,1612,-0.5,0.5,1612
"13518",-0.5,"L1 2",2,"spillover","rp","spillover rp",3,0,301,301,0.5,-0.5,301
"13520",-0.5,"L1 2",11,"spillover","rp","spillover rp",4,0,282,282,0.5,0.5,282
"13522",-0.5,"L1 2",3,"spillover","rp","spillover rp",4,0,328,328,0.5,0.5,328
"13524",-0.5,"L1 2",21,"spillover","rp","spillover rp",2,0,124,124,-0.5,0.5,124
"13526",-0.5,"L1 2",20,"spillover","rp","spillover rp",1,0,378,378,-0.5,-0.5,378
"13528",-0.5,"L1 2",16,"spillover","rp","spillover rp",1,1,0,NA,-0.5,-0.5,NA
"13530",-0.5,"L1 2",13,"spillover","rp","spillover rp",2,0,645,645,-0.5,0.5,645
"13532",-0.5,"L1 2",9,"spillover","rp","spillover rp",2,0,5711,5711,-0.5,0.5,NA
"13534",-0.5,"L1 2",12,"spillover","rp","spillover rp",1,0,447,447,-0.5,-0.5,447
"13536",-0.5,"L1 2",23,"spillover","rp","spillover rp",4,0,818,818,0.5,0.5,818
"13537",-0.5,"L1 3",11,"spillover","rp","spillover rp",1,0,446,446,-0.5,-0.5,446
"13539",-0.5,"L1 3",21,"spillover","rp","spillover rp",3,0,802,802,0.5,-0.5,802
"13541",-0.5,"L1 3",2,"spillover","rp","spillover rp",4,0,611,611,0.5,0.5,611
"13543",-0.5,"L1 3",20,"spillover","rp","spillover rp",2,0,400,400,-0.5,0.5,400
"13545",-0.5,"L1 3",9,"spillover","rp","spillover rp",3,0,869,869,0.5,-0.5,869
"13547",-0.5,"L1 3",4,"spillover","rp","spillover rp",2,0,3340,3340,-0.5,0.5,3340
"13549",-0.5,"L1 3",3,"spillover","rp","spillover rp",1,0,583,583,-0.5,-0.5,583
"13551",-0.5,"L1 3",1,"spillover","rp","spillover rp",3,0,525,525,0.5,-0.5,525
"13553",-0.5,"L1 3",13,"spillover","rp","spillover rp",3,0,535,535,0.5,-0.5,535
"13555",-0.5,"L1 3",18,"spillover","rp","spillover rp",4,0,376,376,0.5,0.5,376
"13557",-0.5,"L1 3",7,"spillover","rp","spillover rp",1,0,2475,2475,-0.5,-0.5,2475
"13559",-0.5,"L1 3",5,"spillover","rp","spillover rp",3,0,829,829,0.5,-0.5,829
"13561",-0.5,"L1 3",15,"spillover","rp","spillover rp",1,0,221,221,-0.5,-0.5,221
"13563",-0.5,"L1 3",16,"spillover","rp","spillover rp",2,0,493,493,-0.5,0.5,493
