"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"23042",-0.5,"L1 1",24,"spillover","tt","spillover tt",4,0,323,323,0.5,0.5,323
"23044",-0.5,"L1 1",12,"spillover","tt","spillover tt",4,0,2377,2377,0.5,0.5,2377
"23046",-0.5,"L1 1",6,"spillover","tt","spillover tt",2,0,371,371,-0.5,0.5,371
"23048",-0.5,"L1 1",7,"spillover","tt","spillover tt",3,0,880,880,0.5,-0.5,880
"23050",-0.5,"L1 1",14,"spillover","tt","spillover tt",2,0,644,644,-0.5,0.5,644
"23052",-0.5,"L1 1",21,"spillover","tt","spillover tt",1,0,1024,1024,-0.5,-0.5,1024
"23054",-0.5,"L1 1",19,"spillover","tt","spillover tt",3,0,511,511,0.5,-0.5,511
"23056",-0.5,"L1 1",17,"spillover","tt","spillover tt",1,0,648,648,-0.5,-0.5,648
"23058",-0.5,"L1 1",10,"spillover","tt","spillover tt",2,0,1453,1453,-0.5,0.5,1453
"23060",-0.5,"L1 1",23,"spillover","tt","spillover tt",3,0,609,609,0.5,-0.5,609
"23062",-0.5,"L1 1",15,"spillover","tt","spillover tt",3,0,578,578,0.5,-0.5,578
"23064",-0.5,"L1 1",1,"spillover","tt","spillover tt",1,0,593,593,-0.5,-0.5,593
"23066",-0.5,"L1 1",2,"spillover","tt","spillover tt",2,0,543,543,-0.5,0.5,543
"23068",-0.5,"L1 1",5,"spillover","tt","spillover tt",1,0,515,515,-0.5,-0.5,515
"23070",-0.5,"L1 1",16,"spillover","tt","spillover tt",4,0,998,998,0.5,0.5,998
"23072",-0.5,"L1 1",3,"spillover","tt","spillover tt",3,0,760,760,0.5,-0.5,760
"23074",-0.5,"L1 1",13,"spillover","tt","spillover tt",1,0,1537,1537,-0.5,-0.5,1537
"23076",-0.5,"L1 1",11,"spillover","tt","spillover tt",3,0,695,695,0.5,-0.5,695
"23078",-0.5,"L1 1",9,"spillover","tt","spillover tt",1,0,1228,1228,-0.5,-0.5,1228
"23080",-0.5,"L1 1",8,"spillover","tt","spillover tt",4,0,1682,1682,0.5,0.5,1682
"23082",-0.5,"L1 1",4,"spillover","tt","spillover tt",4,0,973,973,0.5,0.5,973
"23084",-0.5,"L1 1",20,"spillover","tt","spillover tt",4,0,1754,1754,0.5,0.5,1754
"23086",-0.5,"L1 1",18,"spillover","tt","spillover tt",2,0,467,467,-0.5,0.5,467
"23088",-0.5,"L1 1",22,"spillover","tt","spillover tt",2,0,1056,1056,-0.5,0.5,1056
"23090",-0.5,"L1 2",14,"spillover","tt","spillover tt",3,0,301,301,0.5,-0.5,301
"23092",-0.5,"L1 2",4,"spillover","tt","spillover tt",1,0,431,431,-0.5,-0.5,431
"23094",-0.5,"L1 2",19,"spillover","tt","spillover tt",4,0,566,566,0.5,0.5,566
"23096",-0.5,"L1 2",1,"spillover","tt","spillover tt",2,0,421,421,-0.5,0.5,421
