"","subject","type","item","condition","question","correct_answer","response","rt","group"
"26","L1 1","gap",22,0.5,"!","{Yes}",0,3000,"L1"
"43","L1 1","gap",16,0.5,"!","{No}",1,2705,"L1"
"47","L1 1","gap",21,-0.5,"!","{Yes}",0,1914,"L1"
"51","L1 1","gap",19,-0.5,"!","{Yes}",0,2490,"L1"
"71","L1 1","gap",13,-0.5,"!","{Yes}",0,2284,"L1"
"82","L1 1","gap",14,0.5,"!","{Yes}",0,1526,"L1"
"96","L1 1","gap",20,0.5,"!","{No}",1,1910,"L1"
"119","L1 1","gap",24,0.5,"!","{No}",1,3237,"L1"
"123","L1 1","gap",23,-0.5,"!","{Yes}",0,2275,"L1"
"162","L1 1","gap",18,0.5,"!","{No}",1,2996,"L1"
"165","L1 1","gap",17,-0.5,"!","{No}",1,3227,"L1"
"179","L1 1","gap",15,-0.5,"!","{No}",1,1968,"L1"
"205","L1 2","gap",14,-0.5,"!","{Yes}",0,2003,"L1"
"213","L1 2","gap",20,-0.5,"!","{No}",1,2414,"L1"
"237","L1 2","gap",23,0.5,"!","{Yes}",0,3213,"L1"
"279","L1 2","gap",18,-0.5,"!","{Yes}",0,1017,"L1"
"283","L1 2","gap",17,0.5,"!","{Yes}",0,2780,"L1"
"300","L1 2","gap",21,0.5,"!","{Yes}",0,1187,"L1"
"304","L1 2","gap",15,0.5,"!","{Yes}",0,1954,"L1"
"310","L1 2","gap",19,0.5,"!","{No}",1,1110,"L1"
"318","L1 2","gap",13,0.5,"!","{Yes}",0,931,"L1"
"327","L1 2","gap",24,-0.5,"!","{No}",1,936,"L1"
"334","L1 2","gap",22,-0.5,"!","{No}",1,2509,"L1"
"338","L1 2","gap",16,-0.5,"!","{Yes}",0,1518,"L1"
"385","L1 3","gap",13,-0.5,"!","{Yes}",0,2733,"L1"
"391","L1 3","gap",14,0.5,"!","{Yes}",0,2678,"L1"
"416","L1 3","gap",23,-0.5,"!","{Yes}",0,6209,"L1"
"423","L1 3","gap",24,0.5,"!","{No}",1,2442,"L1"
"444","L1 3","gap",16,0.5,"!","{No}",1,4303,"L1"
"459","L1 3","gap",20,0.5,"!","{Yes}",0,2795,"L1"
"467","L1 3","gap",15,-0.5,"!","{Yes}",0,3680,"L1"
"485","L1 3","gap",19,-0.5,"!","{Yes}",0,2211,"L1"
"493","L1 3","gap",22,0.5,"!","{No}",1,1633,"L1"
"496","L1 3","gap",17,-0.5,"!","{No}",1,1418,"L1"
"512","L1 3","gap",21,-0.5,"!","{Yes}",0,14076,"L1"
"522","L1 3","gap",18,0.5,"!","{Yes}",0,3490,"L1"
"555","L1 4","gap",17,0.5,"!","{Yes}",0,1437,"L1"
"566","L1 4","gap",20,-0.5,"!","{No}",1,2275,"L1"
"569","L1 4","gap",24,-0.5,"!","{Yes}",0,1499,"L1"
"582","L1 4","gap",19,0.5,"!","{Yes}",0,1145,"L1"
"610","L1 4","gap",13,0.5,"!","{Yes}",0,1423,"L1"
"648","L1 4","gap",22,-0.5,"!","{Yes}",0,1518,"L1"
"659","L1 4","gap",14,-0.5,"!","{Yes}",0,1213,"L1"
"666","L1 4","gap",15,0.5,"!","{No}",1,2305,"L1"
"677","L1 4","gap",18,-0.5,"!","{Yes}",0,1635,"L1"
"681","L1 4","gap",16,-0.5,"!","{Yes}",0,1869,"L1"
"704","L1 4","gap",23,0.5,"!","{Yes}",0,1052,"L1"
"718","L1 4","gap",21,0.5,"!","{Yes}",0,1157,"L1"
"740","L1 5","gap",24,0.5,"!","{Yes}",0,2421,"L1"
"743","L1 5","gap",15,-0.5,"!","{Yes}",0,1540,"L1"
"753","L1 5","gap",17,-0.5,"!","{Yes}",0,2373,"L1"
"804","L1 5","gap",23,-0.5,"!","{Yes}",0,2801,"L1"
"812","L1 5","gap",22,0.5,"!","{Yes}",0,2199,"L1"
"831","L1 5","gap",21,-0.5,"!","{Yes}",0,1830,"L1"
"839","L1 5","gap",14,0.5,"!","{Yes}",0,1296,"L1"
"849","L1 5","gap",16,0.5,"!","{Yes}",0,1661,"L1"
"860","L1 5","gap",18,0.5,"!","{No}",1,1527,"L1"
"867","L1 5","gap",20,0.5,"!","{Yes}",0,3016,"L1"
"870","L1 5","gap",19,-0.5,"!","{Yes}",0,1838,"L1"
"881","L1 5","gap",13,-0.5,"!","{Yes}",0,1664,"L1"
"923","L1 6","gap",24,-0.5,"!","{No}",1,1230,"L1"
"929","L1 6","gap",15,0.5,"!","{Yes}",0,2846,"L1"
"938","L1 6","gap",13,0.5,"!","{Yes}",0,1794,"L1"
"966","L1 6","gap",14,-0.5,"!","{Yes}",0,7162,"L1"
"981","L1 6","gap",18,-0.5,"!","{Yes}",0,1361,"L1"
"988","L1 6","gap",17,0.5,"!","{Yes}",0,1259,"L1"
"995","L1 6","gap",19,0.5,"!","{Yes}",0,2283,"L1"
"1013","L1 6","gap",21,0.5,"!","{Yes}",0,1322,"L1"
"1039","L1 6","gap",16,-0.5,"!","{Yes}",0,3171,"L1"
"1057","L1 6","gap",22,-0.5,"!","{No}",1,2774,"L1"
"1064","L1 6","gap",20,-0.5,"!","{No}",1,1704,"L1"
"1072","L1 6","gap",23,0.5,"!","{Yes}",0,3795,"L1"
"1122","L1 7","gap",21,-0.5,"!","{Yes}",0,3388,"L1"
"1129","L1 7","gap",16,0.5,"!","{No}",1,6886,"L1"
"1135","L1 7","gap",17,-0.5,"!","{Yes}",0,2362,"L1"
"1153","L1 7","gap",13,-0.5,"!","{Yes}",0,1579,"L1"
"1161","L1 7","gap",20,0.5,"!","{No}",1,1639,"L1"
"1168","L1 7","gap",14,0.5,"!","{Yes}",0,1477,"L1"
"1194","L1 7","gap",22,0.5,"!","{No}",1,2243,"L1"
"1198","L1 7","gap",24,0.5,"!","{No}",1,2552,"L1"
"1210","L1 7","gap",23,-0.5,"!","{Yes}",0,2854,"L1"
"1227","L1 7","gap",15,-0.5,"!","{No}",1,2865,"L1"
"1235","L1 7","gap",18,0.5,"!","{No}",1,2089,"L1"
"1256","L1 7","gap",19,-0.5,"!","{No}",1,4296,"L1"
"1288","L1 8","gap",22,-0.5,"!","{Yes}",0,2289,"L1"
"1326","L1 8","gap",14,-0.5,"!","{Yes}",0,1449,"L1"
"1330","L1 8","gap",13,0.5,"!","{Yes}",0,1958,"L1"
"1339","L1 8","gap",15,0.5,"!","{No}",1,4640,"L1"
"1360","L1 8","gap",17,0.5,"!","{No}",1,3170,"L1"
"1367","L1 8","gap",19,0.5,"!","{Yes}",0,2547,"L1"
"1374","L1 8","gap",21,0.5,"!","{Yes}",0,2742,"L1"
"1386","L1 8","gap",23,0.5,"!","{Yes}",0,5719,"L1"
"1395","L1 8","gap",20,-0.5,"!","{No}",1,4066,"L1"
"1399","L1 8","gap",16,-0.5,"!","{Yes}",0,1675,"L1"
"1406","L1 8","gap",24,-0.5,"!","{No}",1,1534,"L1"
"1427","L1 8","gap",18,-0.5,"!","{Yes}",0,3483,"L1"
"1464","L1 9","gap",20,0.5,"!","{Yes}",0,1601,"L1"
"1486","L1 9","gap",16,0.5,"!","{No}",1,1481,"L1"
"1495","L1 9","gap",15,-0.5,"!","{Yes}",0,1144,"L1"
"1503","L1 9","gap",19,-0.5,"!","{Yes}",0,1189,"L1"
"1513","L1 9","gap",13,-0.5,"!","{Yes}",0,1045,"L1"
"1536","L1 9","gap",14,0.5,"!","{No}",1,1488,"L1"
"1544","L1 9","gap",17,-0.5,"!","{Yes}",0,1214,"L1"
"1555","L1 9","gap",22,0.5,"!","{No}",1,2462,"L1"
"1558","L1 9","gap",24,0.5,"!","{No}",1,1380,"L1"
"1565","L1 9","gap",23,-0.5,"!","{No}",1,1118,"L1"
"1582","L1 9","gap",21,-0.5,"!","{No}",1,1237,"L1"
"1594","L1 9","gap",18,0.5,"!","{No}",1,1721,"L1"
"1676","L1 10","gap",18,-0.5,"!","{Yes}",0,2703,"L1"
"1686","L1 10","gap",13,0.5,"!","{Yes}",0,1717,"L1"
"1689","L1 10","gap",21,0.5,"!","{Yes}",0,1199,"L1"
"1744","L1 10","gap",15,0.5,"!","{Yes}",0,1448,"L1"
"1752","L1 10","gap",20,-0.5,"!","{No}",1,1275,"L1"
"1756","L1 10","gap",17,0.5,"!","{Yes}",0,1298,"L1"
"1759","L1 10","gap",24,-0.5,"!","{Yes}",0,1482,"L1"
"1767","L1 10","gap",22,-0.5,"!","{Yes}",0,1491,"L1"
"1777","L1 10","gap",19,0.5,"!","{Yes}",0,2244,"L1"
"1785","L1 10","gap",23,0.5,"!","{Yes}",0,3138,"L1"
"1789","L1 10","gap",14,-0.5,"!","{Yes}",0,3362,"L1"
"1792","L1 10","gap",16,-0.5,"!","{No}",1,685,"L1"
"1819","L1 11","gap",19,-0.5,"!","{Yes}",0,2521,"L1"
"1842","L1 11","gap",18,0.5,"!","{No}",1,1905,"L1"
"1845","L1 11","gap",24,0.5,"!","{No}",1,2829,"L1"
"1864","L1 11","gap",22,0.5,"!","{No}",1,4160,"L1"
"1871","L1 11","gap",23,-0.5,"!","{No}",1,3855,"L1"
"1896","L1 11","gap",16,0.5,"!","{No}",1,2655,"L1"
"1911","L1 11","gap",20,0.5,"!","{No}",1,3492,"L1"
"1919","L1 11","gap",21,-0.5,"!","{Yes}",0,2565,"L1"
"1922","L1 11","gap",15,-0.5,"!","{Yes}",0,1594,"L1"
"1934","L1 11","gap",13,-0.5,"!","{Yes}",0,1005,"L1"
"1953","L1 11","gap",17,-0.5,"!","{No}",1,2521,"L1"
"1970","L1 11","gap",14,0.5,"!","{Yes}",0,2973,"L1"
"2001","L1 12","gap",17,0.5,"!","{Yes}",0,2260,"L1"
"2020","L1 12","gap",15,0.5,"!","{Yes}",0,1517,"L1"
"2042","L1 12","gap",23,0.5,"!","{No}",1,1902,"L1"
"2046","L1 12","gap",20,-0.5,"!","{Yes}",0,2629,"L1"
"2053","L1 12","gap",13,0.5,"!","{Yes}",0,2726,"L1"
"2057","L1 12","gap",24,-0.5,"!","{Yes}",0,3696,"L1"
"2076","L1 12","gap",14,-0.5,"!","{Yes}",0,2182,"L1"
"2091","L1 12","gap",21,0.5,"!","{Yes}",0,1799,"L1"
"2105","L1 12","gap",18,-0.5,"!","{Yes}",0,1430,"L1"
"2125","L1 12","gap",16,-0.5,"!","{No}",1,3225,"L1"
"2128","L1 12","gap",22,-0.5,"!","{Yes}",0,1521,"L1"
"2150","L1 12","gap",19,0.5,"!","{Yes}",0,2162,"L1"
