"","subject","type","item","condition","question","correct_answer","response","rt","group","clause_q","ambiguity"
"16","L1 1","gp",14,"b","!","{The_doctor_woke_himself_up}",1,3844,"L1",-0.5,0.5
"23","L1 1","gp",3,"c","!","{The_president}",1,1844,"L1",0.5,-0.5
"29","L1 1","gp",4,"d","!","{The_friend}",1,2138,"L1",0.5,0.5
"33","L1 1","gp",7,"c","!","{The_lady}",1,1510,"L1",0.5,-0.5
"62","L1 1","gp",9,"a","!","{The_pianist_calmed_himself_down}",1,3042,"L1",-0.5,-0.5
"68","L1 1","gp",6,"b","!","{The_two_kids_fought_each_other}",1,3319,"L1",-0.5,0.5
"75","L1 1","gp",5,"a","!","{The_father_washed_the_boy}",0,2108,"L1",-0.5,-0.5
"89","L1 1","gp",20,"d","!","{The_man}",1,1897,"L1",0.5,0.5
"92","L1 1","gp",19,"c","!","{The_basketball_player}",1,2853,"L1",0.5,-0.5
"100","L1 1","gp",17,"a","!","{The_two_men_fought_each_other}",1,3400,"L1",-0.5,-0.5
"106","L1 1","gp",2,"b","!","{The_mother_dressed_herself}",1,3563,"L1",-0.5,0.5
"112","L1 1","gp",12,"d","!","{The_baby}",1,1747,"L1",0.5,0.5
"116","L1 1","gp",18,"b","!","{The_father_washed_himself}",1,2748,"L1",-0.5,0.5
"126","L1 1","gp",1,"a","!","{The_lawyer_calmed_himself_down}",1,4765,"L1",-0.5,-0.5
"130","L1 1","gp",10,"b","!","{The_two_soldiers_fought_each_other}",1,3444,"L1",-0.5,0.5
"133","L1 1","gp",11,"c","!","{The_friend}",1,1691,"L1",0.5,-0.5
"136","L1 1","gp",13,"a","!","{The_girl_calmed_herself_down}",1,1904,"L1",-0.5,-0.5
"140","L1 1","gp",24,"d","!","{The_director}",1,2375,"L1",0.5,0.5
"144","L1 1","gp",16,"d","!","{The_assistant}",1,1960,"L1",0.5,0.5
"147","L1 1","gp",21,"a","!","{Anna_dressed_herself}",1,1626,"L1",-0.5,-0.5
"151","L1 1","gp",22,"b","!","{The_two_footballers_fought_each_other}",1,2226,"L1",-0.5,0.5
"159","L1 1","gp",15,"c","!","{The_boy}",1,3248,"L1",0.5,-0.5
"171","L1 1","gp",23,"c","!","{The_child}",1,4003,"L1",0.5,-0.5
"175","L1 1","gp",8,"d","!","{The_boy}",1,1513,"L1",0.5,0.5
"195","L1 2","gp",16,"a","!","{The_researcher_woke_himself_up}",1,3657,"L1",-0.5,-0.5
"202","L1 2","gp",17,"b","!","{The_two_men_fought_each_other}",1,2911,"L1",-0.5,0.5
"209","L1 2","gp",4,"a","!","{The_two_children_hugged_their_friend}",0,2561,"L1",-0.5,-0.5
"217","L1 2","gp",15,"d","!","{The_boy}",1,1028,"L1",0.5,0.5
"223","L1 2","gp",2,"c","!","{The_mother}",0,2794,"L1",0.5,-0.5
"230","L1 2","gp",10,"c","!","{The_two_soldiers}",0,1124,"L1",0.5,-0.5
"241","L1 2","gp",6,"c","!","{The_neighbour}",1,972,"L1",0.5,-0.5
"247","L1 2","gp",19,"d","!","{The_basketball_player}",1,1542,"L1",0.5,0.5
"261","L1 2","gp",20,"a","!","{The_two_friends_met_each_other}",1,2585,"L1",-0.5,-0.5
"265","L1 2","gp",14,"c","!","{The_nurse}",1,1586,"L1",0.5,-0.5
"269","L1 2","gp",8,"a","!","{Mary_dressed_the_boy}",0,1956,"L1",-0.5,-0.5
"275","L1 2","gp",1,"b","!","{The_lawyer_calmed_himself_down}",1,2505,"L1",-0.5,0.5
"286","L1 2","gp",12,"a","!","{The_nurse_washed_the_baby}",0,2174,"L1",-0.5,-0.5
"289","L1 2","gp",24,"a","!","{The_two_actresses_met_the_director}",0,2652,"L1",-0.5,-0.5
"293","L1 2","gp",3,"d","!","{The_president}",1,1444,"L1",0.5,0.5
"297","L1 2","gp",23,"d","!","{The_child}",1,1108,"L1",0.5,0.5
"307","L1 2","gp",9,"b","!","{The_pianist_calmed_himself_down}",1,3468,"L1",-0.5,0.5
"314","L1 2","gp",5,"b","!","{The_father_washed_himself}",1,1921,"L1",-0.5,0.5
"324","L1 2","gp",11,"d","!","{The_friend}",1,1136,"L1",0.5,0.5
"342","L1 2","gp",21,"b","!","{Anna_dressed_herself}",1,1236,"L1",-0.5,0.5
"345","L1 2","gp",18,"c","!","{The_baby}",1,2386,"L1",0.5,-0.5
"348","L1 2","gp",22,"c","!","{The_coach}",1,2255,"L1",0.5,-0.5
"352","L1 2","gp",13,"b","!","{The_girl_calmed_herself_down}",1,1454,"L1",-0.5,0.5
"359","L1 2","gp",7,"d","!","{The_lady}",1,953,"L1",0.5,0.5
"379","L1 3","gp",4,"b","!","{The_two_children_hugged_each_other}",1,4729,"L1",-0.5,0.5
"382","L1 3","gp",20,"b","!","{The_two_friends_met_each_other}",1,3223,"L1",-0.5,0.5
"394","L1 3","gp",12,"b","!","{The_nurse_washed_herself}",1,3367,"L1",-0.5,0.5
"401","L1 3","gp",18,"d","!","{The_baby}",1,1989,"L1",0.5,0.5
"405","L1 3","gp",22,"d","!","{The_coach}",1,2556,"L1",0.5,0.5
"409","L1 3","gp",9,"c","!","{The_pianist}",0,12669,"L1",0.5,-0.5
"412","L1 3","gp",6,"d","!","{The_neighbour}",1,1922,"L1",0.5,0.5
"427","L1 3","gp",13,"c","!","{The_boy}",1,1870,"L1",0.5,-0.5
"430","L1 3","gp",24,"b","!","{The_two_actresses_met_each_other}",1,2743,"L1",-0.5,0.5
"436","L1 3","gp",15,"a","!","{The_aunt_dressed_herself}",1,2633,"L1",-0.5,-0.5
"448","L1 3","gp",23,"a","!","{The_mother_washed_herself}",1,1790,"L1",-0.5,-0.5
"456","L1 3","gp",1,"c","!","{The_man}",1,1631,"L1",0.5,-0.5
"471","L1 3","gp",14,"d","!","{The_nurse}",1,1757,"L1",0.5,0.5
"478","L1 3","gp",7,"a","!","{The_man_woke_himself_up}",1,3518,"L1",-0.5,-0.5
"482","L1 3","gp",16,"b","!","{The_researcher_woke_himself_up}",1,2973,"L1",-0.5,0.5
"499","L1 3","gp",11,"a","!","{The_lady_woke_herself_up}",1,2909,"L1",-0.5,-0.5
"502","L1 3","gp",21,"c","!","{The_child}",1,2411,"L1",0.5,-0.5
"508","L1 3","gp",19,"a","!","{The_coach_calmed_himself_down}",1,3495,"L1",-0.5,-0.5
"519","L1 3","gp",5,"c","!","{The_boy}",1,3324,"L1",0.5,-0.5
"525","L1 3","gp",3,"a","!","{The_two_journalists_met_each_other}",1,2618,"L1",-0.5,-0.5
"529","L1 3","gp",10,"d","!","{The_General}",1,2177,"L1",0.5,0.5
"532","L1 3","gp",17,"c","!","{The_terrorist}",1,2360,"L1",0.5,-0.5
"535","L1 3","gp",8,"b","!","{Mary_dressed_herself}",1,3633,"L1",-0.5,0.5
"538","L1 3","gp",2,"d","!","{The_baby}",1,1910,"L1",0.5,0.5
"559","L1 4","gp",11,"b","!","{The_lady_woke_herself_up}",1,2515,"L1",-0.5,0.5
"562","L1 4","gp",12,"c","!","{The_baby}",1,1212,"L1",0.5,-0.5
"571","L1 4","gp",21,"d","!","{The_child}",1,1585,"L1",0.5,0.5
"574","L1 4","gp",24,"c","!","{The_actresses}",0,2472,"L1",0.5,-0.5
"578","L1 4","gp",17,"d","!","{The_terrorist}",1,1088,"L1",0.5,0.5
"585","L1 4","gp",6,"a","!","{The_two_kids_fought_each_other}",1,2739,"L1",-0.5,-0.5
"595","L1 4","gp",4,"c","!","{The_friend}",1,1058,"L1",0.5,-0.5
"599","L1 4","gp",16,"c","!","{The_assistant}",1,3170,"L1",0.5,-0.5
"603","L1 4","gp",2,"a","!","{The_mother_dressed_the_baby}",0,1869,"L1",-0.5,-0.5
"607","L1 4","gp",15,"b","!","{The_aunt_dressed_herself}",1,1286,"L1",-0.5,0.5
"614","L1 4","gp",8,"c","!","{The_boy}",1,2749,"L1",0.5,-0.5
"628","L1 4","gp",14,"a","!","{The_doctor_woke_himself_up}",1,1580,"L1",-0.5,-0.5
"632","L1 4","gp",23,"b","!","{The_mother_washed_the_child}",0,3461,"L1",-0.5,0.5
"638","L1 4","gp",13,"d","!","{The_boy}",1,1443,"L1",0.5,0.5
"645","L1 4","gp",22,"a","!","{The_two_footballers_fought_each_other}",1,2300,"L1",-0.5,-0.5
"652","L1 4","gp",7,"b","!","{The_man_woke_himself_up}",1,1120,"L1",-0.5,0.5
"656","L1 4","gp",1,"d","!","{The_man}",1,1064,"L1",0.5,0.5
"663","L1 4","gp",20,"c","!","{The_man}",1,2021,"L1",0.5,-0.5
"670","L1 4","gp",3,"b","!","{The_two_journalists_met_each_other}",1,2919,"L1",-0.5,0.5
"673","L1 4","gp",9,"d","!","{The_singer}",1,1267,"L1",0.5,0.5
"688","L1 4","gp",10,"a","!","{The_two_soldiers_fought_each_other}",1,2556,"L1",-0.5,-0.5
"694","L1 4","gp",18,"a","!","{The_father_washed_the_baby}",0,1469,"L1",-0.5,-0.5
"701","L1 4","gp",5,"d","!","{The_boy}",1,1838,"L1",0.5,0.5
"708","L1 4","gp",19,"b","!","{The_coach_calmed_himself_down}",1,2314,"L1",-0.5,0.5
"738","L1 5","gp",19,"c","!","{The_basketball_player}",1,2411,"L1",0.5,-0.5
